AphiaID,scientificnameaccepted,phylum,class,order,family,genus,subgenus,benthos,endobenthos,macrobenthos,epibenthos,meiobenthos,phytobenthos,plankton,nekton,Pisces,Algae,Aves_tax,Pisces_tax,Algae_tax,Plants_tax,meio_tax,micro_tax,misc_tax
181575,Erpobdella octoculata,Annelida,Clitellata,Arhynchobdellida,Erpobdellidae,Erpobdella,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
160017,Glossiphonia complanata,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Glossiphonia,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
154889,Heptacyclus,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,Heptacyclus,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
116943,Pontobdella,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,Pontobdella,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
116986,Pontobdella muricata,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,Pontobdella,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2043,Piscicolidae,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
130072,Marphysa bellii,Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
594957,Nematonereis unicornis,Annelida,Polychaeta,Eunicida,Eunicidae,Nematonereis,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130252,Lumbrineris pseudofragilis,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130127,Glycera rouxii,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130164,Kefersteinia cirrhata,Annelida,Polychaeta,Phyllodocida,Hesionidae,Kefersteinia,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
147027,Mysta barbata,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Mysta,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
337592,Phyllodoce (Carobia) rubiginosa,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Carobia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130810,Malmgreniella arenicolae,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgreniella,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130815,Malmgreniella ljungmani,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgreniella,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
155163,Demonax brachychona,Annelida,Polychaeta,Sabellida,Sabellidae,Demonax,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
339996,Sabella sarsii,Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
210060,Janua pagenstecheri,Annelida,Polychaeta,Sabellida,Serpulidae,Janua,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
152358,Pomatoceros lamarcki,Annelida,Polychaeta,Sabellida,Serpulidae,Pomatoceros,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130590,Pectinaria (Amphictene) auricoma,Annelida,Polychaeta,Terebellida,Pectinariidae,Pectinaria,Amphictene,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
131522,Pistella lornensis,Annelida,Polychaeta,Terebellida,Terebellidae,Pistella,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
150467,Araneae,Arthropoda,Arachnida,Araneae,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
150325,Acaridae,Arthropoda,Arachnida,Sarcoptiformes,Acaridae,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
292685,Halacaroidea,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
738272,Hydrachnidia,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1414,Prostigmata,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
104722,Anomalocera patersoni,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Anomalocera,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104872,Eurytemora affinis,Arthropoda,Hexanauplia,Calanoida,Temoridae,Eurytemora,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
106477,Notopterophorus,Arthropoda,Hexanauplia,Cyclopoida,Notodelphyidae,Notopterophorus,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
